전경련BSI,주택매매가격,건설BSI(전망),"실업률(계절조정,%)",어음부도율,일별수출액YoY,내국인출국자수YoY,코스피 200 변동성지수,통안채 364일,공사채 AAA 3년,은행채 AAA 3년,국고채5년 - CD,국고채10년 - 통안채1년,은행채AAA3년 - 국고채3년,회사채AA-3년 - 국고채3년,내국인출국자수,한국(OECD),GDP서비스업,설비투자,건설투자,재화수출,내수,GDP디플레이터,총저축률,총투자율,Reuter CRB(EW)상품선물지수,Reuter CRB(EW)에너지지수,Reuter CRB(EW)산업지수,Reuter CRB(EW)귀금속지수,코스피지수
96.4,70.13,83.3,3.7,0.09,14.5,-37.03,25.5,4.06,4.97,5.01,0.47,0.6,0.43,0.92,726316,1.11,0.3,-2.3,2.6,1.6,-0.4,3.1,32.8,32.3,243.7,247.7,217.5,322.4,633.4
90.3,70.83,86.7,3.7,0.08,10.56,-9.67,20.83,4.24,4.83,4.88,0.73,0.85,0.42,0.85,529877,1.57,0.3,-2.3,-0.1,7.8,-0.4,4,33.3,32.3,247.6,255.7,247.3,326.4,669.9
91.4,70.57,86.7,3.8,0.06,14.83,0.93,26.98,4.6,4.43,4.49,0.88,0.83,0.38,0.8,581230,2.19,1.4,-3.3,-0.1,7.8,0.3,4,33.3,31.8,249.9,268.7,232.3,340.1,713.5
109.6,69.99,92.4,3.9,0.06,24.13,2.85,28.33,4.66,4.74,4.78,0.7,0.72,0.3,0.6,576348,2.86,1.4,-3.3,-0.1,7.8,0.3,4,33.3,31.8,255.3,283.3,256.6,364.1,759.5
110.3,69.7,64.1,3.8,0.08,25.49,14.34,25.35,4.51,5.21,5.26,1.05,0.99,0.38,0.67,549973,3.58,1.4,-3.3,2,10.9,0.3,3.3,34.7,31.8,262.6,292.7,262,368.3,697.5
102.8,69.85,77.3,3.6,0.05,25.15,7.67,22.49,4.4,5.18,5.27,1.08,1.03,0.45,0.81,725580,4.31,1.2,5.5,2,10.9,1.4,3.3,34.7,31.4,274.7,316.9,287.9,383.8,782.4
98.7,69.99,86.9,3.6,0.05,20.71,11.11,21.23,4.18,5.23,5.31,0.91,1.03,0.37,0.77,609593,5.07,1.2,5.5,2,10.9,1.4,3.3,34.7,31.4,283.8,314.9,266.3,419.7,796.2
99.8,70.1,74.1,3.6,0.06,53.94,11.07,19.95,4.07,5,5.03,0.92,1.11,0.25,0.64,524213,5.84,1.2,5.5,3.7,5.3,1.4,2.6,35.5,31.4,272.5,337.1,245.8,355,810.7
104.9,70.09,79.8,3.6,0.06,44.14,7.25,24.66,4.04,4.72,4.74,0.62,0.91,0.24,0.54,578500,6.5,0,0.5,3.7,5.3,-0.1,2.6,35.5,32.4,277.3,357.4,252.7,363.4,848.5
113.6,69.91,70.4,3.7,0.1,36.54,8.23,24.47,4.14,4.62,4.64,0.6,0.83,0.21,0.5,612240,6.97,0,0.5,3.7,5.3,-0.1,2.6,35.5,32.4,265.9,339.9,228.2,350.9,883.4
